"id","star_rating","title","date","site","content_clean_nostop"
"imdb0038",10,"Nothing ""foreign"" about it","2020-04-17","imdb","hollywood's foreign classifications immediately designation extraordinary call foreign foreign yep america hollywood english designation means universal themes easily accessible observed kurosawa principle balancing elements film's language addition keeping approach keeping narrative dramatic aspects simple subtitles laughing loud humorous bits western claim subtitled languages sublime simplicity results finely calibrated wipes fell swoop tiresome arthouse talking head cinematic tradition west south korean foreign smack middle filmmaking tradition respects medium kurosawa sublime simplicity critics carry genre political sociological commentary matters tonally pitch perfect change pace half seamless gasps frame possibly power impeccable telling medium elevates fray editing acting cinematography pitch perfect hollywood cry pretzels endless commercial blockbusters franchises centre gravity shifted foreigner south korean holds court center global cinematic universe giving picture award stop time tone seamlessness simplicity humour tragedy human depicts cinematic experience ten stars barely begins convey greatness"
"imdb0039",10,"Masterpiece","2019-12-26","imdb","perfectly told perfectly logical plots motives justification frame accompanied provoking message lingers leave theatre surely"
"imdb0040",10,"It's a masterpeice","2020-06-02","imdb","masterpiece"
"imdb0041",10,"Movie of the year","2019-12-12","imdb","2019 acting fabulous funny tense twist moments excelent directing social critics acid jokes monumental easy consume piece art satisfies audience's tastes highly recommended"
"imdb0042",10,"Masterpiece","2020-02-07","imdb","masterpiece unpredictable class division skillfully manages easily combine genres create unique complex experience smart funny tense performances incredible kang ho song woo sik choi dam park giving standout performances bong joon ho's direction incredible beautifully filmed pacing superb constantly extremely engaging entirety run time music jung jae il amazing"
"imdb0043",10,"No words to prais this masterpeic","2020-02-18","imdb","finished amazing experience imagination performance outstanding lovers"
"imdb0044",10,"BEST MOVIE OF 2019!!","2020-01-07","imdb","masterpiece casted acted cinematography themes provoking love effort dedication genre feel cramped unrealistic amazing details makes modern day masterpiece forget fine experience perfect 10 10"
"imdb0045",10,"parasite","2019-09-04","imdb","korean idea unique foreign"
"imdb0046",10,"K-Blockbuster: Cinematic K-Pop","2020-02-28","imdb","hyped title expecting flop amazed brilliance cinematography simplicity doubt ultimate sophistication feel infastation western cinematography taking tip awards leaving eastern offer cheesy martial arts special effects gateway level cinematic appreciation portrays lower class family meet struggling survive capitally oriented world skipping layer society family class counterpart living life riches experiencing blends separates worlds similair essence completely reality manifesto class struggles social stratification represents unpenetrable rock wall lifetime break free move layer forced grow remain society depend generousity rich capital true lives taking focus importance human experience manipulating life's purpose pleases"
"imdb0047",10,"Both comedy and tragedy, a fierce social satire","2019-08-12","imdb","starting clever comedy deep drama modern context social inequities undelines social classes remain splitted today's world spltited gosford park questions poor class struggle benefit runoff rich playing pace makes fantastic experience"
"imdb0048",10,"Brilliant and totally unpredictable","2019-10-17","imdb","dare begins dark hilarious comedy evolves startling violent climex forget exceptional true masterpiece"
"imdb0049",10,"10/10 for sure but too much hype","2021-11-28","imdb","unique exciting hyped time americans korean thriller reason won oscars korean wrong enjoyed single person people videos fun exciting lover"
"imdb0050",10,"A disturbing and hilarious ride.","2020-08-17","imdb","beginning disturbing sad expect dad hide underground rest life reccommend"
"imdb0051",10,"The best film in the last decade","2020-05-04","imdb","remarkably stingy 10 10 ratings person acknowledge masterpiece excited progress unfold satisfying unexpected expected forced friends agreed"
"imdb0052",10,"Eat the Rich","2020-02-15","imdb","loved laughing time holding hand mouth surprise twist paced delivered spot love message loud care korean"
"imdb0053",10,"Not overrated","2020-08-17","imdb","thinking completely hyped park family archetypal immoral rich people rounded share kim's viewpoint completely understandable message textbook rich people bad post modernist drivel feel class criticized reason 2nd half jaw floor gripping seat 1st half laughing lines worth lived hype"
"imdb0054",10,"A wonderful black comedy","2019-12-05","imdb","hilarious gripping intense"
"imdb0055",10,"ART","2020-06-23","imdb","masterpiece painting belong louvre aesthetics accuracy humour empathy bong"
"imdb0056",10,"Parasite","2024-01-11","imdb","remarkably stingy 10 10 ratings person acknowledge roughly 2600 titles rated 34 10 masterpiece vague front excited progress unfold satisfying unexpected emotional 132 minute runtime feeling muddled tonally inconsistent hilarious heartbreaking insanely suspenseful honestly close edge seat final breaking bad 2013 perfectly paced beautifully amazingly acted single understandable sympathetic degree amount conflict drama tension derived narrative heroes villains staggering care stumped flaws hard fault rare appeals gut level excites degree close technically perfect extremely entertaining moving icing cake ton social commentary heavy themes chew movie's one's leave head catch hype joon ho bong bad one's manages stand head shoulders time 2010s surely"
"imdb0057",10,"Parasite","2019-10-18","imdb","feeling affecting time funny scary thrilling sad"
"imdb0058",10,"Great plot","2020-04-14","imdb","awesome enjoyed"
"imdb0059",10,"MUST MUST MUST SEE!","2019-08-25","imdb","10 simply complaints enthralling subtitles smart angles genre humour main drama sadness horror entertaining eyes peeled stuff idea found rooting main topics relevant korean gems clever entertaining brilliant"
"imdb0060",10,"Greatest movie of 2019 EASILY!","2020-01-28","imdb","blown joker"
"imdb0061",10,"It's hands down one of my top five","2019-11-27","imdb","delivered artistically hole dig deeper exponentially completely edge twenty minutes immediately shook core thinking process understand social messages amazing attention deserves korean"
"imdb0062",10,"Masterpiece","2020-02-29","imdb","immediately"
"imdb0063",10,"Must watch for human nature","2021-08-19","imdb","rahman's songs lingers mind lower class struggle feel jealous upper class unknowingly beautifully human nature observer"
"imdb0064",10,"It's a masterpiece. Because Bong Joon Ho","2020-04-05","imdb","pretty difficult rate 10 10 cliches stupid hollywood action flaw bong joon ho guy total god guru true sense guy immediately unique compare equal title explanatory true parasites infect host kill"
